add-none,1,100,200,308056,1540,0
add-none,1,1000,2000,302712,151,0
add-none,1,10000,20000,514055,25,0
add-none,1,100000,200000,2734336,13,0
add-yield-none,2,10,40,311167,7779,5
add-yield-none,2,20,80,355968,4449,17
add-yield-none,2,40,160,350747,2192,17
add-yield-none,2,80,320,424553,1326,18
add-yield-none,2,100,400,453021,1132,16
add-yield-none,2,1000,4000,1987843,496,18
add-yield-none,2,10000,40000,16962955,424,-15
add-yield-none,2,100000,400000,169036758,422,-1098
add-yield-none,4,10,80,357104,4463,0
add-yield-none,4,20,160,344950,2155,10
add-yield-none,4,40,320,377072,1178,34
add-yield-none,4,80,640,461679,721,63
add-yield-none,4,100,800,503125,628,62
add-yield-none,4,1000,8000,2168175,271,-83
add-yield-none,4,10000,80000,19102900,238,-64
add-yield-none,4,100000,800000,182855778,228,47
add-yield-none,8,10,160,530163,3313,3
add-yield-none,8,20,320,500420,1563,83
add-yield-none,8,40,640,516180,806,52
add-yield-none,8,80,1280,536347,419,84
add-yield-none,8,100,1600,590301,368,54
add-yield-none,8,1000,16000,2188616,136,59
add-yield-none,8,10000,160000,19368065,121,-1073
add-yield-none,8,100000,1600000,190738619,119,-5328
add-yield-none,12,10,240,616651,2569,0
add-yield-none,12,20,480,620830,1293,53
add-yield-none,12,40,960,617409,643,196
add-yield-none,12,80,1920,666595,347,111
add-yield-none,12,100,2400,672054,280,204
add-yield-none,12,1000,24000,2676261,111,-40
add-yield-none,12,10000,240000,23867983,99,-1463
add-yield-none,12,100000,2400000,220444286,91,-5708
add-none,2,100,400,301322,753,0
add-yield-none,2,100,400,452206,1130,16
add-none,2,1000,4000,333053,83,102
add-yield-none,2,1000,4000,1939217,484,-12
add-none,2,10000,40000,916487,22,-701
add-yield-none,2,10000,40000,16811832,420,-348
add-none,2,100000,400000,4074919,10,-10533
add-yield-none,2,100000,400000,142953382,357,11426
add-none,8,100,1600,478362,298,0
add-yield-none,8,100,1600,546562,341,-62
add-none,8,1000,16000,507522,31,430
add-yield-none,8,1000,16000,2227632,139,79
add-none,8,10000,160000,3820217,23,-717
add-yield-none,8,10000,160000,18974350,118,128
add-none,8,100000,1600000,37129842,23,-44643
add-yield-none,8,100000,1600000,194879558,121,-5274
add-yield-m,2,10000,40000,51233658,1280,0
add-yield-c,2,10000,40000,29918719,747,0
add-yield-s,2,1000,4000,3275343,818,0
add-yield-m,4,10000,80000,117795934,1472,0
add-yield-c,4,10000,80000,66097473,826,0
add-yield-s,4,1000,8000,7430192,928,0
add-yield-m,8,10000,160000,295506322,1846,0
add-yield-c,8,10000,160000,142738061,892,0
add-yield-s,8,1000,16000,18610567,1163,0
add-yield-m,12,10000,240000,460714594,1919,0
add-yield-c,12,10000,240000,231300367,963,0
add-yield-s,12,1000,24000,32203262,1341,0
add-m,1,10000,20000,876858,43,0
add-s,1,10000,20000,567090,28,0
add-c,1,10000,20000,674107,33,0
add-m,2,10000,40000,5979003,149,0
add-s,2,10000,40000,1818526,45,0
add-c,2,10000,40000,3214092,80,0
add-m,4,10000,80000,13348802,166,0
add-s,4,10000,80000,11535362,144,0
add-c,4,10000,80000,7975411,99,0
add-m,8,10000,160000,35021234,218,0
add-s,8,10000,160000,44947468,280,0
add-c,8,10000,160000,20072272,125,0
add-m,12,10000,240000,46526764,193,0
add-s,12,10000,240000,88636891,369,0
add-c,12,10000,240000,22906187,95,0
